Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Barang,66461188,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Kesekretariatan ,POLITEKNIK ENERGI DAN PERTAMBANGAN BANDUNG,Ya,APBN,2026,10203000
Penyedia,Barang,63621020,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,9720000
Penyedia,Barang,65701444,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,BALAI PENDIDIKAN DAN PELATIHAN TAMBANG BAWAH TANAH DI SAWAH LUNTO,Ya,APBN,2026,22776000
Penyedia,Jasa Lainnya,64227129,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Transformator,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,24000000
Penyedia,Barang,64218939,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,26325000
Penyedia,Barang,64515366,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,5344000
Penyedia,Barang,64135806,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Barium Cloride dihydrate,PUSAT SUMBER DAYA MINERAL BATUBARA DAN PANAS BUMI,Tidak,APBN,2026,2762000
Penyedia,Barang,62297461,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA KETENAGALISTRIKAN ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,2284000
Penyedia,Barang,66345109,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Jasa Iklan Lelang,PUSAT PENGELOLAAN BARANG MILIK NEGARA,Ya,APBN,2026,11040000
Penyedia,Jasa Lainnya,65072329,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan Konsumsi Rapat [Secara Bertahap] 1906.EBA.994.002.D.521211,BALAI BESAR PENGUJIAN MINERAL DAN BATUBARA TEKMIRA,Ya,APBN,2026,110200000
Penyedia,Barang,65935181,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan - Evaluasi Capaian Kinerja Ditjen Mineral dan Batubara  ,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,20999000
Penyedia,Barang,63792000,Dikecualikan,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Alat Tulis Kantor,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,1461000
Penyedia,Barang,66631910,Penunjukan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,1000000
Penyedia,Jasa Lainnya,66094574,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,"Belanja Jasa Lainnya Silo, Pengangkutan limbah B3 dan kebutuhan lainnya 1906.EBA.994.002.L.522191",BALAI BESAR PENGUJIAN MINERAL DAN BATUBARA TEKMIRA,Ya,APBN,2026,550278000
Penyedia,Barang,65037850,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi (ATK) Persiapan Verifikasi Penghargaan Pengelolaan Pertambangan Mineral dan Batubara,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,44559000
Penyedia,Barang,64224242,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,15172000
Penyedia,Barang,64515204,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,2404000
Penyedia,Barang,66432096,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan (509.B.521211),SEKRETARIAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,608000
Penyedia,Jasa Konsultansi,66446965,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,"Pengembangan Geoinformasi Singkapan Volcanogenic Sedimentary Rock dan Batuan Lainnya untuk Open-Air Geology Laboratory, Geoedukasi dan Geowisata di Kawasan Bantarujeg, Kabupaten Majelengka",POLITEKNIK ENERGI DAN PERTAMBANGAN BANDUNG,Ya,APBN,2026,600000
Penyedia,Jasa Lainnya,63601218,Dikecualikan,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Biaya Paket Kegiatan Rapat/Pertemuan Full Day di Luar Kantor - Pejabat Eselon III ke bawah (Jawa  Barat) Sub Koordinator Pengaturan Pendistribusian BBM ,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,19920000
Penyedia,Jasa Lainnya,65060314,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Sewa Alat Survei Topografi Kabupaten Lamongan (Dana BLU),BALAI BESAR PENGUJIAN MINYAK DAN GAS BUMI LEMIGAS,Ya,APBN,2026,2821350000
Penyedia,Jasa Lainnya,63627155,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Sewa Mesin Foto Copy Berwarna,PUSAT SUMBER DAYA MINERAL BATUBARA DAN PANAS BUMI,Ya,APBN,2026,132000000
Penyedia,Jasa Lainnya,63735331,Dikecualikan,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Biaya Paket Kegiatan Rapat/Pertemuan Full Board di Luar Kantor - Pejabat Eselon III ke bawah (D.K.I.  Jakarta) Sosialisasi BBM,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,26334000
Penyedia,Barang,63797073,Dikecualikan,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Alat Tulis Kantor,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,1055000
Penyedia,Barang,66723321,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,DIREKTORAT JENDERAL MINYAK DAN GAS BUMI,Ya,APBN,2026,427000
Penyedia,Jasa Lainnya,66456644,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Hubungan Nilai Ribbon Schmidt Hammer dan Kuat Tekan dan Kuat Tarik Beton Ramah Lingkungan Berbasis Agregat Batu Gamping dan Limbah Plastik,POLITEKNIK ENERGI DAN PERTAMBANGAN BANDUNG,Ya,APBN,2026,3160000
Penyedia,Pekerjaan Konstruksi,64144587,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pekerjaan Pemasangan Partisi Kaca Tempered,SEKRETARIAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,31802000
Penyedia,Barang,66020572,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan - Pelaksanaan Advokasi Hukum di Bidang Pertambangan Mineral dan Batubara,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,14580000
Penyedia,Barang,66761743,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Keperluan Perkantoran Belanja Bahan Kebersihan [Secara Bertahap] 1906.EBA.994.002.P.521111,BALAI BESAR PENGUJIAN MINERAL DAN BATUBARA TEKMIRA,Ya,APBN,2026,135610020
Penyedia,Barang,64964993,Penunjukan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan - Evaluasi Kebijakan dan Isu Strategis dibidang Hilirisasi Batubara  ,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,3000000
Penyedia,Barang,66348150,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan Konsumsi 126,SEKRETARIAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,2601000
Penyedia,Jasa Lainnya,65825564,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL," Biaya Pemeliharaan Instalasi Listrik",PUSAT VULKANOLOGI DAN MITIGASI BENCANA GEOLOGI,Ya,APBN,2026,18000000
