Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Swakelola,-,41999371,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Dukungan Tupoksi,LOKA MONITOR SPEKTRUM FREKUENSI RADIO MANOKWARI,Tidak,APBN,2026,330576000
Penyedia,Jasa Lainnya,64825721,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001091 - Belanja Jasa Lainnya - Honor PJLP - Kemitraan Strategis dan Diseminasi Informasi,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,142800000
Swakelola,-,42929099,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,000878 - Belanja Perjalanan Dinas Biasa - Uang Harian - Manajemen Pengelolaan Komunikasi Strategis Pemerintah,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,34105000
Penyedia,Jasa Lainnya,66877883,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Jasa Pendukung tenaga Profesional Balmon Manado 2026,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MANADO,Ya,APBN,2026,35000000
Swakelola,-,42720975,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,000808 - Belanja Jasa Profesi - Honor narasumber Es Isetara - Pemetaan dan Pendalaman Isu Pertahanan Semesta,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,11200000
Swakelola,-,42918112,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Business Matchmaking Startup Digital ,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Tidak,APBN,2026,6420830000
Penyedia,Jasa Lainnya,66409615,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,PJLP Ahli Bidang Media Sosial,LOKA MONITOR SPEKTRUM FREKUENSI RADIO TERNATE,Ya,APBN,2026,9496000
Penyedia,Jasa Lainnya,66530352,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,000273 - Belanja Jasa Konsultan - Jasa Konsultan Penyusunan Strategi Komunikasi - Rencana Komunikasi Strategis Pemerintah Tahunan,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,241721000
Penyedia,Jasa Lainnya,66737650,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Penyelenggaraan Koordinasi dan Sosialisasi Pendampingan Smart City Semarang Raya,DIREKTORAT JENDERAL TEKNOLOGI PEMERINTAH DIGITAL,Ya,APBN,2026,100000000
Swakelola,-,41705886,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Ujian Negara Amatir Radio Luar Kota,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BATAM,Tidak,APBN,2026,30605000
Penyedia,Pekerjaan Konstruksi,62307567,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pemeliharaan Gedung / Bangunan Non Bertingkat Cangkudu,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I TANGERANG,Ya,APBN,2026,288864000
Penyedia,Jasa Lainnya,66069384,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,14 Tenaga Kontrak Junior Analis Data (Penempatan Yogyakarta) 25 Februari s.d Desember 2026,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL,Ya,APBN,2026,926555826
Penyedia,Barang,66251375,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Paket Meeting Luar Kota,DIREKTORAT JENDERAL TEKNOLOGI PEMERINTAH DIGITAL,Ya,APBN,2026,100000000
Penyedia,Jasa Lainnya,63302262,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Biaya paket meeting dalam kota - Pengelolaan Pengawasan Program Kerja Mitra Inspektorat IV,INSPEKTORAT JENDERAL,Ya,APBN,2026,7182000
Penyedia,Jasa Lainnya,66007985,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengembangan modul aplikasi digitalisasi keuangan negara,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,54600000
Penyedia,Jasa Lainnya,66475066,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"Diseminasi Rebranding Kementerian Kominfo untuk Akselerasi Transformasi Digital - Penyiaran dan Penyebarluasan Informasi - Belanja Perjalanan Dinas Biasa - Bali - Tiket Pesawat Jakarta-Bali PP [3 orang x 15 freq]""",SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,78750000
Penyedia,Barang,66181749,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,ATK dan Komputer Supply,SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,6203000
Swakelola,-,41993810,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,OPERASIONAL PERKANTORAN DAN PIMPINAN PNBP,LOKA MONITOR SPEKTRUM FREKUENSI RADIO MANOKWARI,Tidak,APBN,2026,905973000
